license_no,latitude,longitude,GEOID
101009227,37.262023925800001,-79.946273803699995,5106
101009529,37.793010711699999,-79.996818542499994,5109
101009902,36.676521301299999,-82.010276794399999,5109
101011603,38.870033264200003,-77.155143737800003,5111
101011621,38.849201202400003,-77.251953125000000,5111
101011653,36.742218017600003,-76.241508483900006,5104
101011882,36.695030212399999,-79.863922119099996,5109
101011963,37.534038543699999,-77.559082031299994,5107
101012145,38.284206390400001,-77.507179260300006,5101
101012297,37.249523162800003,-79.947875976600002,5106
101012308,38.031803131099998,-78.454704284700000,5105
101012335,37.344512939500000,-79.859970092799998,5106
101012444,37.597541809100001,-77.459075927699999,5107
101012571,38.888942718499997,-77.128585815400001,5108
101012581,37.262023925800001,-79.946273803699995,5106
101012593,37.309558868400003,-76.749145507799994,5101
101012609,37.814159393300002,-77.663879394500000,5107
101012649,36.850040435799997,-76.048446655299998,5102
101012733,38.962142944299998,-77.214859008800005,5110
101012772,38.917633056600003,-77.254440307600007,5111
101012831,37.136806487999998,-77.619132995599998,5104
101012871,36.915283203100003,-76.241371154800007,5102
101012891,38.094055175800001,-76.721717834499998,5101
101012948,37.263114929200000,-79.941970825200002,5106
101012996,37.533992767299999,-77.559165954600005,5107
101013000,37.582489013699998,-77.627464294399999,5107
101013098,36.854202270499997,-76.293617248499999,5103
101013221,36.813392639200003,-76.259147643999995,5104
101013249,37.056385040300000,-78.628334045399995,5105
101013272,38.450374603299998,-78.870452880900004,5106
101013306,37.352039337199997,-79.516410827599998,5105
101013341,37.078315734900002,-76.462814331100006,5102
101013369,38.164123535199998,-79.068939209000007,5106
101013390,36.699527740500002,-77.539611816399997,5104
101013589,39.191303253199997,-78.196174621599994,5110
101013598,36.849639892600003,-76.191345214799995,5102
101013621,37.203071594199997,-79.949890136700006,5106
101013638,37.239391326899998,-79.965248107899995,5106
101013647,37.539302825900002,-77.431159973099994,5103
101013704,36.671939849899999,-80.920806884800001,5109
101013805,38.931495666499998,-77.175231933600003,5108
101013964,38.032070159900002,-78.498809814500007,5105
101013982,37.477329254200001,-75.860282897900007,5102
101013987,37.482204437299998,-79.896072387700002,5106
101014066,37.279148101799997,-76.726470947300001,5101
101014128,37.260288238500003,-79.946678161600005,5106
101014136,38.828514099099998,-77.110923767100005,5108
101014367,37.580188751199998,-77.624389648399998,5107
101014387,36.861007690400001,-76.305046081499995,5103
101014389,37.280918121299997,-76.723030090300000,5101
101014496,38.742053985600002,-77.465911865199999,5110
101014849,38.885311126700003,-77.088020324699997,5108
101014882,37.417716980000002,-79.174194335899998,5106
101014931,36.690628051799997,-76.938705444299998,5104
101014941,37.084232330299997,-80.690620422400002,5109
101015021,38.887866973900003,-77.088546752900001,5108
101015030,37.583415985099997,-77.507217407200002,5107
101015108,37.226348877000000,-77.406379699699997,5103
101015560,38.858753204300001,-77.226112365700004,5111
101015565,36.682834625200002,-82.036643981899999,5109
101015592,38.931461334200002,-77.175674438499996,5108
101015669,38.827095031699997,-77.089309692399993,5108
101015765,38.868358612100003,-77.237205505399999,5111
101015813,36.842712402300002,-76.180023193400004,5102
101015840,37.626430511499997,-77.549316406299994,5107
101015916,37.060970306400002,-76.485710143999995,5102
101015923,36.863018035899998,-76.016082763699998,5102
101015932,38.879676818800000,-77.231460571300005,5111
101015937,36.902248382600000,-76.136756896999998,5102
101015967,37.791011810299999,-77.200546264600007,5101
101016007,37.096096038799999,-76.467971801800005,5102
101016084,38.828514099099998,-77.110923767100005,5108
101016085,36.689483642600003,-79.856185913100006,5109
101016197,36.854991912800003,-76.194007873499999,5102
101016253,37.558471679699998,-77.487266540500002,5103
