id	school_name	school_type
1	"Albany Medical College - Albany NY"	med
2	"Albert Einstein College Of Medicine Of Yeshiva University - Bronx NY"	med
3	"Baylor College Of Medicine - Houston TX"	med
4	"Boston University School Of Medicine - Boston MA"	med
5	"Brown University School Of Medicine - Providence RI"	med
6	"Case Western Reserve University School Of Medicine - Cleveland OH"	med
7	"Columbia University College Of Physicians And Surgeons - New York NY"	med
8	"Creighton University School Of Medicine - Omaha NE"	med
9	"Dalhousie University Faculty Of Medicine - Halifax, NS Canada"	med
10	"Dartmouth Medical School - Hanover NH"	med
11	"Duke University School Of Medicine - Durham NC"	med
12	"East Tennessee State University James H. Quillen College Of Medicine - Johnson City TN"	med
13	"Eastern Virginia Medical School Of The Medical College Of Hampton Roads - Norfolk VA"	med
14	"Emory University School Of Medicine - Atlanta GA"	med
91	"University of Iowa Roy J. and Lucille A. Carver College of Medicine - Iowa City IA"	med
16	"George Washington University School Of Medicine And Health Sciences - Washington DC"	med
17	"Georgetown University School Of Medicine - Washington DC"	med
18	"Harvard Medical School - Boston MA"	med
19	"Howard University College Of Medicine - Washington DC"	med
20	"Indiana University School Of Medicine - Indianapolis IN"	med
21	"Jefferson Medical College Of Thomas Jefferson University - Philadelphia PA"	med
81	"David Geffen School of Medicine at UCLA - Los Angels CA"	med
88	"University of Florida College of Medicine - Gainesville, FL"	med
24	"Johns Hopkins University School Of Medicine - Baltimore MD"	med
25	"Keck School Of Medicine At The University Of Southern California - Los Angeles CA"	med
26	"Laval University Faculty Of Medicine - Quebec City PQ Canada"	med
27	"Loma Linda University School Of Medicine - Loma Linda CA"	med
28	"Louisiana State University School Of Medicine In New Orleans - New Orleans LA"	med
29	"Louisiana State University School Of Medicine In Shreveport - Shreveport LA"	med
30	"Loyola University Chicago Stritch School Of Medicine - Maywood IL"	med
90	"University of Illinois at Chicago College of Medicine - Chicago IL"	med
32	"Mayo Medical School - Rochester MN"	med
33	"McGill University Faculty Of Medicine - Montreal PQ Canada"	med
34	"McMaster University School Of Medicine - Hamilton ON Canada"	med
35	"Medical College Of Georgia School Of Medicine - Augusta GA"	med
36	"Medical College Of Ohio - Toledo OH"	med
37	"Medical College Of Wisconsin - Milwaukee WI"	med
38	"Medical University Of South Carolina College Of Medicine - Charleston SC"	med
39	"Meharry Medical College School Of Medicine - Nashville TN"	med
40	"Memorial University Of Newfoundland Faculty Of Medicine - St. Johns, NF Canada"	med
41	"Mercer University School Of Medicine- Macon GA"	med
42	"Michigan State University College Of Human Medicine - East Lansing MI"	med
43	"Morehouse School Of Medicine - Atlanta GA"	med
44	"Mount Sinai School Of Medicine Of New York University - New York NY"	med
45	"New York Medical College - Valhalla NY"	med
46	"New York University School Of Medicine - New York NY"	med
47	"Northeastern Ohio Universities College Of Medicine - Rootstown OH"	med
143	"University of Illinois College of Medicine at Peoria - Peoria IL"	med
49	"Ohio State University College Of Medicine And Public Health - Columbus OH"	med
50	"Oregon Health Sciences University School Of Medicine - Portland OR"	med
51	"Pennsylvania State University College Of Medicine - Hershey PA"	med
52	"Ponce School Of Medicine - Ponce PR"	med
53	"Queen’s University Faculty Of Health Sciences - Kingston ON Canada"	med
54	"Rush Medical College Of Rush University - Chicago IL"	med
55	"Saint Louis University School Of Medicine - St. Louis MO"	med
